feature,importance
lag_1,0.11234371654190012
hour_cos,0.035885294444458336
lag_24,0.019044597636418664
hour_sin,0.012208880196117378
lights,0.006078566927600726
RH_6,0.004171739936800478
lag_2,0.004006104951275058
lag_25,0.003340379223309986
RH_3,0.0033353218145018904
RH_8,0.0032506601124731916
Tdewpoint,0.0031974966086108503
RH_2,0.0026945790963172843
roll_mean_3,0.0026892037178150086
RH_5,0.002413124483979262
dow_sin,0.002110382640969083
roll_std_3,0.0019331884296315271
Press_mm_hg,0.0017657130130114052
roll_mean_168,0.0016395389522085636
roll_mean_24,0.001471291019557247
RH_1,0.001469040882894651
RH_4,0.0014562444658396234
T_out,0.0013851301213001043
RH_7,0.0013120438887184894
T2,0.001074497596187507
roll_std_24,0.000992465603984549
lag_168,0.0009445441593457837
lag_3,0.0006511323312771878
lag_48,0.00044165956359028534
dow_cos,0.0003332684863644131
is_weekend,0.00027677751576601906
T1,0.000255779228000419
T6,0.00018301185566265698
T7,1.6891834819288132e-05
T9,0.0
Windspeed,-1.732041243099891e-05
roll_std_168,-0.0001419543374621579
T3,-0.0003411509267182367
Visibility,-0.0006282202941852444
T4,-0.0006421569917880066
RH_9,-0.0008114650486886477
RH_out,-0.0008134439938368265
T5,-0.0008562332219412161
T8,-0.0013476193005734216
