Model,RMSE,MAE,MAPE_pct,sMAPE_pct,MASE,Bias,Interval,Coverage_pct
HGB lag+time,373.40716504092467,201.96382913693907,27.529329787120087,27.443655996578954,0.6300684838757136,-77.4461848669858,,
HGB all covariates (conditional),375.769971323868,201.59920694027383,28.093457717989416,26.93287383344096,0.6289309685313965,-61.18729905612552,,
SARIMAX calendar,380.3348829371613,216.09328078559287,33.496647212605154,29.836240077534598,0.6741482689357714,-29.13493160515017,95%,94.94047619047619
HGB + weather (conditional),387.6816903711114,211.2772180218967,29.376647190024013,28.69956951952681,0.65912355200136,-69.0931111383842,,
Mean,436.3378747883086,296.07122892302044,53.5726127606764,46.0038910003214,0.9236562364851094,-13.321759727006652,,
SARIMAX conditional,456.870616031512,325.91264665579337,59.90025823871999,50.53483684091384,1.0167527919818935,65.39998858384297,95%,96.42857142857143
Chronos-T5 tiny zero-shot,460.50939236397255,227.51262791951498,24.40313201276716,31.070342449521153,0.7097733150951127,-196.379821232387,90%,66.96428571428571
Weekly seasonal naive,474.7010337344668,254.58333333333334,37.13838951484934,32.50401545058567,0.7942260529463332,-72.55952380952381,,
Daily seasonal naive,510.7015482927102,288.57142857142856,43.77333865164239,35.54878364858543,0.9002590378030917,16.904761904761905,,
Naive,660.2578861251686,512.0238095238095,113.35709353009615,65.41941021757053,1.5973655617124989,312.26190476190476,,
Drift,662.0684329808562,513.5747783106899,113.76117707513585,65.53000580687977,1.602204133828428,314.6063417654702,,
