p,d,q,AIC,converged
0,0,0,21765.476388708492,True
0,0,1,21377.737132358234,True
0,0,2,21127.202344748395,True
0,0,3,21059.241923898735,True
0,0,4,21030.16134873952,True
0,0,5,20993.01057647469,True
0,0,6,20981.019758079612,True
0,1,0,21424.39440844304,True
0,1,1,21183.526393453554,True
0,1,2,21170.81076610899,True
0,1,3,21098.666812574636,True
0,1,4,21037.29861488188,True
0,1,5,21010.7806589157,True
0,1,6,20972.939104406076,True
0,2,0,22859.82197491654,True
0,2,1,21476.691370919616,True
0,2,2,21233.408064804775,True
0,2,3,21178.271156783376,True
0,2,4,21111.717773639728,True
0,2,5,21071.94869956572,True
0,2,6,21045.712637133132,True
1,0,0,21126.17245755479,True
1,0,1,21062.594708335593,True
1,0,2,21028.594546759618,True
1,0,3,21014.310635740687,True
1,0,4,21002.220065509897,True
1,0,5,20986.78381360542,True
1,0,6,20974.776390200914,True
1,1,0,21211.96356456839,True
1,1,1,21105.34297701557,True
1,1,2,21171.187258014765,True
1,1,3,21013.44929432134,True
1,1,4,20998.116676196983,True
1,1,5,20985.75216386491,False
1,1,6,20967.833762669125,False
1,2,0,22012.82181563089,True
1,2,1,21192.516740949774,True
1,2,2,21147.317421133273,True
1,2,3,21172.443955658848,False
1,2,4,21040.10116884882,False
1,2,5,21080.53005178828,True
1,2,6,21040.33391154889,False
2,0,0,21045.860588231426,True
2,0,1,21043.462287674152,True
2,0,2,21028.48585243493,True
2,0,3,21016.22471176743,True
2,0,4,20986.471569780108,True
2,0,5,20986.393774791388,True
2,0,6,20940.543175279694,False
2,1,0,21195.55899729796,True
2,1,1,21046.98499208876,True
2,1,2,21029.045722303228,True
2,1,3,21013.46766028892,True
2,1,4,20996.795518554653,True
2,1,5,20981.097869997666,True
2,1,6,20967.21568706855,False
2,2,0,21771.711699504744,True
2,2,1,21267.69235420818,True
2,2,2,21204.42808013808,True
2,2,3,21110.72939632766,True
2,2,4,21141.101108536706,False
2,2,5,21070.860971931703,False
2,2,6,21065.126107504904,False
3,0,0,21027.985484682715,True
3,0,1,21026.264333073494,True
3,0,2,21024.774904703358,True
3,0,3,21013.144367528737,True
3,0,4,20975.47858914442,False
3,0,5,20965.837314167686,False
3,0,6,20937.564983914446,False
3,1,0,21171.76370608574,True
3,1,1,21020.726285892873,False
3,1,2,21028.54182546038,True
3,1,3,21007.29108796721,True
3,1,4,20995.283655306313,True
3,1,5,20982.495261182576,False
3,1,6,20968.966208891634,False
3,2,0,21668.058023904985,True
3,2,1,21247.095998666453,True
3,2,2,21199.268266577143,False
3,2,3,21179.747035327047,False
3,2,4,21031.05103343459,False
3,2,5,21113.27287596435,False
3,2,6,21056.505218019178,False
4,0,0,21015.01336719021,True
4,0,1,21012.8213531419,True
4,0,2,21015.07677109405,False
4,0,3,21010.74179936178,False
4,0,4,20998.933077385573,False
4,0,5,20988.19438398331,False
4,0,6,20949.52477270604,False
4,1,0,21130.229401323453,True
4,1,1,21013.927424971967,True
4,1,2,21010.190493500828,False
4,1,3,21009.214161939875,False
4,1,4,21001.538887234863,False
4,1,5,20980.09192640228,False
4,1,6,20970.96742282679,False
4,2,0,21527.446224206367,True
4,2,1,21124.88751190152,False
4,2,2,21090.819632400446,False
4,2,3,21104.733425221475,False
4,2,4,21046.060996955952,False
4,2,5,21121.544935227437,False
4,2,6,21109.011442817937,False
5,0,0,21001.173291737745,True
5,0,1,20999.79808790365,True
5,0,2,21000.860833503863,False
5,0,3,20998.9805099676,False
5,0,4,21000.81456028799,False
5,0,5,20951.675446276407,False
5,0,6,20925.65525349076,False
5,1,0,21116.970546120683,True
5,1,1,21000.14846325423,True
5,1,2,20997.6095915039,True
5,1,3,21001.552567578536,False
5,1,4,20995.413680253805,False
5,1,5,20985.66945268179,False
5,1,6,20972.817498816694,False
5,2,0,21465.030860623723,True
5,2,1,21111.627844910432,True
5,2,2,21145.599378133425,True
5,2,3,21128.89153657708,False
5,2,4,21062.438977068767,False
5,2,5,21122.750790480826,False
5,2,6,21102.939194694845,False
6,0,0,20982.47939588692,True
6,0,1,20978.727602732317,True
6,0,2,20980.20129976898,True
6,0,3,20987.553226115953,False
6,0,4,20989.408546081853,True
6,0,5,20943.101546367507,False
6,0,6,20930.56061216443,False
6,1,0,21094.75877665633,True
6,1,1,20980.83794071086,False
6,1,2,20984.25692751046,False
6,1,3,20997.11932505805,False
6,1,4,20986.613661565985,False
6,1,5,20986.81761198109,False
6,1,6,20974.451490515243,False
6,2,0,21398.211610688595,True
6,2,1,21121.858797255845,False
6,2,2,21041.812757984288,False
6,2,3,21053.035868509123,False
6,2,4,21106.41631914015,False
6,2,5,21111.90351115427,False
6,2,6,21106.517244456973,False
